id,tp_mm_day
2019_02_-60.00_-66.75,2.595965
2019_02_-60.00_-66.50,2.565965
2019_02_-60.00_-66.25,2.536648
2019_02_-60.00_-66.00,2.520857
2019_02_-60.00_-65.75,2.516383
2019_02_-60.00_-65.50,2.510523
2019_02_-60.00_-65.25,2.502460
2019_02_-60.00_-65.00,2.485800
2019_02_-60.00_-64.75,2.445339
2019_02_-60.00_-64.50,2.407588
2019_02_-60.00_-64.25,2.388451
2019_02_-60.00_-64.00,2.369290
2019_02_-60.00_-63.75,2.390021
2019_02_-60.00_-63.50,2.410577
2019_02_-60.00_-63.25,2.412449
2019_02_-60.00_-63.00,2.411304
2019_02_-60.00_-62.75,2.407084
2019_02_-60.00_-62.50,2.401574
2019_02_-60.00_-62.25,2.405034
2019_02_-60.00_-62.00,2.414609
2019_02_-60.00_-61.75,2.425082
2019_02_-60.00_-61.50,2.436345
2019_02_-60.00_-61.25,2.446289
2019_02_-60.00_-61.00,2.453191
2019_02_-60.00_-60.75,2.458381
2019_02_-60.00_-60.50,2.455961
2019_02_-60.00_-60.25,2.451844
2019_02_-60.00_-60.00,2.422901
2019_02_-60.00_-59.75,2.393866
2019_02_-60.00_-59.50,2.367551
2019_02_-60.00_-59.25,2.341442
2019_02_-60.00_-59.00,2.345164
2019_02_-60.00_-58.75,2.356722
2019_02_-60.00_-58.50,2.344724
2019_02_-60.00_-58.25,2.321267
2019_02_-60.00_-58.00,2.300577
2019_02_-60.00_-57.75,2.282076
2019_02_-60.00_-57.50,2.267854
2019_02_-60.00_-57.25,2.259706
2019_02_-60.00_-57.00,2.248038
2019_02_-60.00_-56.75,2.226754
2019_02_-60.00_-56.50,2.205502
2019_02_-60.00_-56.25,2.184244
2019_02_-60.00_-56.00,2.163140
2019_02_-60.00_-55.75,2.160806
2019_02_-60.00_-55.50,2.158261
2019_02_-60.00_-55.25,2.153858
2019_02_-60.00_-55.00,2.149178
2019_02_-60.00_-54.75,2.139540
2019_02_-60.00_-54.50,2.128315
2019_02_-60.00_-54.25,2.124836
2019_02_-60.00_-54.00,2.126297
2019_02_-60.00_-53.75,2.122623
2019_02_-60.00_-53.50,2.113223
2019_02_-60.00_-53.25,2.107528
2019_02_-60.00_-53.00,2.108924
2019_02_-60.00_-52.75,2.110178
2019_02_-60.00_-52.50,2.110334
2019_02_-60.00_-52.25,2.109964
2019_02_-60.00_-52.00,2.099820
2019_02_-60.00_-51.75,2.089561
2019_02_-60.00_-51.50,2.074708
2019_02_-60.00_-51.25,2.059227
2019_02_-60.00_-51.00,2.057908
2019_02_-60.00_-50.75,2.060091
2019_02_-60.00_-50.50,2.060105
2019_02_-60.00_-50.25,2.059109
2019_02_-60.00_-50.00,2.064017
2019_02_-60.00_-49.75,2.073750
2019_02_-60.00_-49.50,2.086779
2019_02_-60.00_-49.25,2.104188
2019_02_-60.00_-49.00,2.117037
2019_02_-60.00_-48.75,2.117267
2019_02_-60.00_-48.50,2.119828
2019_02_-60.00_-48.25,2.139190
2019_02_-60.00_-48.00,2.158391
2019_02_-60.00_-47.75,2.171261
2019_02_-60.00_-47.50,2.184196
2019_02_-60.00_-47.25,2.193976
2019_02_-60.00_-47.00,2.203195
2019_02_-60.00_-46.75,2.211301
2019_02_-60.00_-46.50,2.219132
2019_02_-60.00_-46.25,2.224860
2019_02_-60.00_-46.00,2.229203
2019_02_-60.00_-45.75,2.235312
2019_02_-60.00_-45.50,2.243398
2019_02_-60.00_-45.25,2.253494
2019_02_-60.00_-45.00,2.267414
2019_02_-60.00_-44.75,2.276209
2019_02_-60.00_-44.50,2.264997
2019_02_-60.00_-44.25,2.253374
2019_02_-60.00_-44.00,2.234869
2019_02_-60.00_-43.75,2.216047
2019_02_-60.00_-43.50,2.235732
2019_02_-60.00_-43.25,2.258067
2019_02_-60.00_-43.00,2.264786
2019_02_-60.00_-42.75,2.267835
2019_02_-60.00_-42.50,2.264471
2019_02_-60.00_-42.25,2.258430
2019_02_-60.00_-42.00,2.252897
2019_02_-60.00_-41.75,2.247900
2019_02_-60.00_-41.50,2.243532
2019_02_-60.00_-41.25,2.239881
2019_02_-60.00_-41.00,2.234141
2019_02_-60.00_-40.75,2.223088
2019_02_-60.00_-40.50,2.212259
2019_02_-60.00_-40.25,2.202544
2019_02_-60.00_-40.00,2.192562
2019_02_-60.00_-39.75,2.191172
2019_02_-60.00_-39.50,2.189759
2019_02_-60.00_-39.25,2.188155
2019_02_-60.00_-39.00,2.186460
2019_02_-60.00_-38.75,2.191059
2019_02_-60.00_-38.50,2.197978
2019_02_-60.00_-38.25,2.211632
2019_02_-60.00_-38.00,2.229629
2019_02_-60.00_-37.75,2.244514
2019_02_-60.00_-37.50,2.255414
2019_02_-60.00_-37.25,2.263429
2019_02_-60.00_-37.00,2.265464
2019_02_-60.00_-36.75,2.264362
2019_02_-60.00_-36.50,2.251676
2019_02_-60.00_-36.25,2.239539
2019_02_-60.00_-36.00,2.236906
2019_02_-60.00_-35.75,2.233932
2019_02_-60.00_-35.50,2.235157
2019_02_-60.00_-35.25,2.236517
2019_02_-60.00_-35.00,2.237156
2019_02_-60.00_-34.75,2.237463
2019_02_-60.00_-34.50,2.241154
2019_02_-60.00_-34.25,2.246296
2019_02_-60.00_-34.00,2.244071
2019_02_-60.00_-33.75,2.234988
2019_02_-60.00_-33.50,2.233089
2019_02_-60.00_-33.25,2.241596
2019_02_-60.00_-33.00,2.249287
2019_02_-60.00_-32.75,2.254927
2019_02_-60.00_-32.50,2.259934
2019_02_-60.00_-32.25,2.261284
2019_02_-60.00_-32.00,2.262319
2019_02_-60.00_-31.75,2.261320
2019_02_-60.00_-31.50,2.260401
2019_02_-60.00_-31.25,2.256478
2019_02_-60.00_-31.00,2.252278
2019_02_-60.00_-30.75,2.249388
2019_02_-60.00_-30.50,2.247338
2019_02_-60.00_-30.25,2.243715
2019_02_-60.00_-30.00,2.239135
2019_02_-60.00_-29.75,2.239994
2019_02_-60.00_-29.50,2.247119
2019_02_-60.00_-29.25,2.251966
2019_02_-60.00_-29.00,2.252193
2019_02_-60.00_-28.75,2.253835
2019_02_-60.00_-28.50,2.262541
2019_02_-60.00_-28.25,2.270295
2019_02_-60.00_-28.00,2.265297
2019_02_-60.00_-27.75,2.260164
2019_02_-60.00_-27.50,2.252718
2019_02_-60.00_-27.25,2.245061
2019_02_-60.00_-27.00,2.252642
2019_02_-60.00_-26.75,2.263958
2019_02_-60.00_-26.50,2.278804
2019_02_-60.00_-26.25,2.295058
2019_02_-60.00_-26.00,2.306127
2019_02_-60.00_-25.75,2.312048
2019_02_-60.00_-25.50,2.325955
2019_02_-60.00_-25.25,2.351237
2019_02_-60.00_-25.00,2.373118
2019_02_-59.75_-90.00,2.938448
2019_02_-59.75_-89.75,2.945140
2019_02_-59.75_-89.50,2.953504
2019_02_-59.75_-89.25,2.947057
2019_02_-59.75_-89.00,2.942656
2019_02_-59.75_-88.75,2.943706
2019_02_-59.75_-88.50,2.941357
2019_02_-59.75_-88.25,2.957336
2019_02_-59.75_-88.00,2.974333
2019_02_-59.75_-87.75,2.972028
2019_02_-59.75_-87.50,2.970919
2019_02_-59.75_-87.25,2.971340
2019_02_-59.75_-87.00,2.974499
2019_02_-59.75_-86.75,2.978275
2019_02_-59.75_-86.50,2.981929
2019_02_-59.75_-86.25,2.973172
2019_02_-59.75_-86.00,2.963243
2019_02_-59.75_-85.75,2.952833
2019_02_-59.75_-85.50,2.942388
2019_02_-59.75_-85.25,2.948173
2019_02_-59.75_-85.00,2.967913
2019_02_-59.75_-84.75,2.986076
2019_02_-59.75_-84.50,2.998613
2019_02_-59.75_-84.25,3.007013
2019_02_-59.75_-84.00,3.008510
2019_02_-59.75_-83.75,3.008358
2019_02_-59.75_-83.50,3.014805
2019_02_-59.75_-83.25,3.021863
2019_02_-59.75_-83.00,3.028542
2019_02_-59.75_-82.75,3.033536
2019_02_-59.75_-82.50,3.026518
2019_02_-59.75_-82.25,3.013670
2019_02_-59.75_-82.00,3.006775
2019_02_-59.75_-81.75,2.999461
2019_02_-59.75_-81.50,3.005371
2019_02_-59.75_-81.25,3.030970
2019_02_-59.75_-81.00,3.041242
2019_02_-59.75_-80.75,3.039360
2019_02_-59.75_-80.50,3.032590
2019_02_-59.75_-80.25,2.994549
2019_02_-59.75_-80.00,2.969307
2019_02_-59.75_-79.75,2.975611
2019_02_-59.75_-79.50,2.985515
2019_02_-59.75_-79.25,2.997054
2019_02_-59.75_-79.00,3.008926
2019_02_-59.75_-78.75,2.990737
2019_02_-59.75_-78.50,2.964525
2019_02_-59.75_-78.25,2.955894
2019_02_-59.75_-78.00,2.959028
2019_02_-59.75_-77.75,2.954875
2019_02_-59.75_-77.50,2.964586
2019_02_-59.75_-77.25,2.958366
2019_02_-59.75_-77.00,2.921070
2019_02_-59.75_-76.75,2.906651
2019_02_-59.75_-76.50,2.894738
2019_02_-59.75_-76.25,2.885670
2019_02_-59.75_-76.00,2.920179
2019_02_-59.75_-75.75,2.946423
2019_02_-59.75_-75.50,2.941602
2019_02_-59.75_-75.25,2.940774
2019_02_-59.75_-75.00,2.932375
2019_02_-59.75_-74.75,2.921965
2019_02_-59.75_-74.50,2.936028
2019_02_-59.75_-74.25,2.955696
2019_02_-59.75_-74.00,2.970290
2019_02_-59.75_-73.75,2.980620
2019_02_-59.75_-73.50,2.976028
2019_02_-59.75_-73.25,2.946582
2019_02_-59.75_-73.00,2.925386
2019_02_-59.75_-72.75,2.926911
2019_02_-59.75_-72.50,2.919038
2019_02_-59.75_-72.25,2.902862
2019_02_-59.75_-72.00,2.889932
2019_02_-59.75_-71.75,2.869890
2019_02_-59.75_-71.50,2.850702
2019_02_-59.75_-71.25,2.840610
2019_02_-59.75_-71.00,2.827920
2019_02_-59.75_-70.75,2.826653
2019_02_-59.75_-70.50,2.829511
2019_02_-59.75_-70.25,2.822746
2019_02_-59.75_-70.00,2.808816
2019_02_-59.75_-69.75,2.796357
2019_02_-59.75_-69.50,2.785875
2019_02_-59.75_-69.25,2.781100
2019_02_-59.75_-69.00,2.775023
2019_02_-59.75_-68.75,2.767997
2019_02_-59.75_-68.50,2.755759
2019_02_-59.75_-68.25,2.735631
2019_02_-59.75_-68.00,2.709794
2019_02_-59.75_-67.75,2.680373
2019_02_-59.75_-67.50,2.660810
2019_02_-59.75_-67.25,2.642418
2019_02_-59.75_-67.00,2.632461
2019_02_-59.75_-66.75,2.627929
2019_02_-59.75_-66.50,2.623720
2019_02_-59.75_-66.25,2.619556
2019_02_-59.75_-66.00,2.599905
2019_02_-59.75_-65.75,2.563937
2019_02_-59.75_-65.50,2.523817
2019_02_-59.75_-65.25,2.477407
2019_02_-59.75_-65.00,2.442215
2019_02_-59.75_-64.75,2.426223
2019_02_-59.75_-64.50,2.410188
2019_02_-59.75_-64.25,2.392859
2019_02_-59.75_-64.00,2.375248
2019_02_-59.75_-63.75,2.367889
2019_02_-59.75_-63.50,2.352377
2019_02_-59.75_-63.25,2.352984
2019_02_-59.75_-63.00,2.356548
2019_02_-59.75_-62.75,2.358970
2019_02_-59.75_-62.50,2.366895
2019_02_-59.75_-62.25,2.370810
2019_02_-59.75_-62.00,2.371863
2019_02_-59.75_-61.75,2.381946
2019_02_-59.75_-61.50,2.402992
2019_02_-59.75_-61.25,2.417082
2019_02_-59.75_-61.00,2.416995
2019_02_-59.75_-60.75,2.418130
2019_02_-59.75_-60.50,2.408345
2019_02_-59.75_-60.25,2.397934
2019_02_-59.75_-60.00,2.384232
2019_02_-59.75_-59.75,2.367910
2019_02_-59.75_-59.50,2.343763
2019_02_-59.75_-59.25,2.320660
2019_02_-59.75_-59.00,2.310319
2019_02_-59.75_-58.75,2.302832
2019_02_-59.75_-58.50,2.298328
2019_02_-59.75_-58.25,2.296490
2019_02_-59.75_-58.00,2.288035
2019_02_-59.75_-57.75,2.273546
2019_02_-59.75_-57.50,2.259606
2019_02_-59.75_-57.25,2.244737
2019_02_-59.75_-57.00,2.232562
2019_02_-59.75_-56.75,2.227695
2019_02_-59.75_-56.50,2.216770
2019_02_-59.75_-56.25,2.203556
2019_02_-59.75_-56.00,2.191228
2019_02_-59.75_-55.75,2.187205
2019_02_-59.75_-55.50,2.183192
2019_02_-59.75_-55.25,2.178407
2019_02_-59.75_-55.00,2.172867
2019_02_-59.75_-54.75,2.165623
2019_02_-59.75_-54.50,2.158042
2019_02_-59.75_-54.25,2.148407
2019_02_-59.75_-54.00,2.131951
2019_02_-59.75_-53.75,2.120732
2019_02_-59.75_-53.50,2.115654
2019_02_-59.75_-53.25,2.112686
2019_02_-59.75_-53.00,2.125470
2019_02_-59.75_-52.75,2.134372
2019_02_-59.75_-52.50,2.129037
2019_02_-59.75_-52.25,2.124713
2019_02_-59.75_-52.00,2.120911
2019_02_-59.75_-51.75,2.118423
2019_02_-59.75_-51.50,2.106966
2019_02_-59.75_-51.25,2.094691
2019_02_-59.75_-51.00,2.085774
2019_02_-59.75_-50.75,2.074478
2019_02_-59.75_-50.50,2.077386
2019_02_-59.75_-50.25,2.087262
2019_02_-59.75_-50.00,2.097471
2019_02_-59.75_-49.75,2.116782
2019_02_-59.75_-49.50,2.129591
2019_02_-59.75_-49.25,2.132632
2019_02_-59.75_-49.00,2.138556
2019_02_-59.75_-48.75,2.145202
2019_02_-59.75_-48.50,2.153492
2019_02_-59.75_-48.25,2.172695
2019_02_-59.75_-48.00,2.191900
2019_02_-59.75_-47.75,2.196607
2019_02_-59.75_-47.50,2.198814
2019_02_-59.75_-47.25,2.216464
2019_02_-59.75_-47.00,2.236505
2019_02_-59.75_-46.75,2.254307
2019_02_-59.75_-46.50,2.280704
2019_02_-59.75_-46.25,2.289523
2019_02_-59.75_-46.00,2.286622
2019_02_-59.75_-45.75,2.290327
2019_02_-59.75_-45.50,2.298048
2019_02_-59.75_-45.25,2.300786
2019_02_-59.75_-45.00,2.294054
2019_02_-59.75_-44.75,2.291447
2019_02_-59.75_-44.50,2.272566
2019_02_-59.75_-44.25,2.255312
2019_02_-59.75_-44.00,2.265101
2019_02_-59.75_-43.75,2.270123
2019_02_-59.75_-43.50,2.268988
2019_02_-59.75_-43.25,2.261647
2019_02_-59.75_-43.00,2.258616
2019_02_-59.75_-42.75,2.256609
2019_02_-59.75_-42.50,2.263289
2019_02_-59.75_-42.25,2.281202
2019_02_-59.75_-42.00,2.289321
2019_02_-59.75_-41.75,2.289079
2019_02_-59.75_-41.50,2.285800
2019_02_-59.75_-41.25,2.278542
2019_02_-59.75_-41.00,2.267714
2019_02_-59.75_-40.75,2.247382
2019_02_-59.75_-40.50,2.230531
2019_02_-59.75_-40.25,2.227254
2019_02_-59.75_-40.00,2.224337
2019_02_-59.75_-39.75,2.227501
2019_02_-59.75_-39.50,2.230041
2019_02_-59.75_-39.25,2.231060
2019_02_-59.75_-39.00,2.233585
2019_02_-59.75_-38.75,2.239431
2019_02_-59.75_-38.50,2.246594
2019_02_-59.75_-38.25,2.259968
2019_02_-59.75_-38.00,2.277557
2019_02_-59.75_-37.75,2.290819
2019_02_-59.75_-37.50,2.299173
2019_02_-59.75_-37.25,2.306160
2019_02_-59.75_-37.00,2.309020
2019_02_-59.75_-36.75,2.311189
2019_02_-59.75_-36.50,2.309589
2019_02_-59.75_-36.25,2.305255
2019_02_-59.75_-36.00,2.287668
2019_02_-59.75_-35.75,2.267451
2019_02_-59.75_-35.50,2.267984
2019_02_-59.75_-35.25,2.269966
2019_02_-59.75_-35.00,2.268501
2019_02_-59.75_-34.75,2.265106
2019_02_-59.75_-34.50,2.267419
2019_02_-59.75_-34.25,2.272683
2019_02_-59.75_-34.00,2.272723
2019_02_-59.75_-33.75,2.271380
2019_02_-59.75_-33.50,2.271556
2019_02_-59.75_-33.25,2.274158
2019_02_-59.75_-33.00,2.278761
2019_02_-59.75_-32.75,2.280831
2019_02_-59.75_-32.50,2.281807
2019_02_-59.75_-32.25,2.276130
2019_02_-59.75_-32.00,2.271812
2019_02_-59.75_-31.75,2.277253
2019_02_-59.75_-31.50,2.284638
2019_02_-59.75_-31.25,2.281168
2019_02_-59.75_-31.00,2.276117
2019_02_-59.75_-30.75,2.280435
2019_02_-59.75_-30.50,2.292475
2019_02_-59.75_-30.25,2.297235
2019_02_-59.75_-30.00,2.297073
2019_02_-59.75_-29.75,2.296108
2019_02_-59.75_-29.50,2.289896
2019_02_-59.75_-29.25,2.287077
2019_02_-59.75_-29.00,2.290870
2019_02_-59.75_-28.75,2.294575
2019_02_-59.75_-28.50,2.296875
2019_02_-59.75_-28.25,2.298791
2019_02_-59.75_-28.00,2.301026
2019_02_-59.75_-27.75,2.302069
2019_02_-59.75_-27.50,2.306031
2019_02_-59.75_-27.25,2.314946
2019_02_-59.75_-27.00,2.306313
2019_02_-59.75_-26.75,2.293058
2019_02_-59.75_-26.50,2.304008
2019_02_-59.75_-26.25,2.317210
2019_02_-59.75_-26.00,2.331489
2019_02_-59.75_-25.75,2.346437
2019_02_-59.75_-25.50,2.359185
2019_02_-59.75_-25.25,2.358764
2019_02_-59.75_-25.00,2.366353
2019_02_-59.50_-90.00,2.947391
2019_02_-59.50_-89.75,2.956978
2019_02_-59.50_-89.50,2.966022
2019_02_-59.50_-89.25,2.974490
2019_02_-59.50_-89.00,2.973902
2019_02_-59.50_-88.75,2.976058
2019_02_-59.50_-88.50,2.976321
2019_02_-59.50_-88.25,2.962256
2019_02_-59.50_-88.00,2.962737
2019_02_-59.50_-87.75,2.972997
2019_02_-59.50_-87.50,2.994296
2019_02_-59.50_-87.25,3.026702
2019_02_-59.50_-87.00,3.054452
2019_02_-59.50_-86.75,3.049157
2019_02_-59.50_-86.50,3.018896
2019_02_-59.50_-86.25,3.010799
2019_02_-59.50_-86.00,3.017350
2019_02_-59.50_-85.75,3.008070
2019_02_-59.50_-85.50,2.996968
2019_02_-59.50_-85.25,2.991730
2019_02_-59.50_-85.00,2.998058
2019_02_-59.50_-84.75,3.011809
2019_02_-59.50_-84.50,3.023540
2019_02_-59.50_-84.25,3.035084
2019_02_-59.50_-84.00,3.046150
2019_02_-59.50_-83.75,3.052695
2019_02_-59.50_-83.50,3.054111
2019_02_-59.50_-83.25,3.049979
2019_02_-59.50_-83.00,3.038004
2019_02_-59.50_-82.75,3.026525
2019_02_-59.50_-82.50,3.026522
2019_02_-59.50_-82.25,3.048031
2019_02_-59.50_-82.00,3.062686
2019_02_-59.50_-81.75,3.071201
2019_02_-59.50_-81.50,3.079127
2019_02_-59.50_-81.25,3.040566
2019_02_-59.50_-81.00,3.012246
2019_02_-59.50_-80.75,3.024602
2019_02_-59.50_-80.50,3.023541
2019_02_-59.50_-80.25,3.026976
2019_02_-59.50_-80.00,3.050948
2019_02_-59.50_-79.75,3.005693
2019_02_-59.50_-79.50,2.978720
2019_02_-59.50_-79.25,2.983933
2019_02_-59.50_-79.00,2.979815
2019_02_-59.50_-78.75,2.973592
2019_02_-59.50_-78.50,2.965072
2019_02_-59.50_-78.25,2.954824
2019_02_-59.50_-78.00,2.945851
2019_02_-59.50_-77.75,2.946282
2019_02_-59.50_-77.50,2.957373
2019_02_-59.50_-77.25,2.951602
2019_02_-59.50_-77.00,2.959390
2019_02_-59.50_-76.75,2.968624
2019_02_-59.50_-76.50,2.955165
2019_02_-59.50_-76.25,2.945238
2019_02_-59.50_-76.00,2.950670
2019_02_-59.50_-75.75,2.936332
2019_02_-59.50_-75.50,2.939986
2019_02_-59.50_-75.25,2.943487
2019_02_-59.50_-75.00,2.943245
2019_02_-59.50_-74.75,2.957143
2019_02_-59.50_-74.50,2.958433
2019_02_-59.50_-74.25,2.953224
2019_02_-59.50_-74.00,2.968763
2019_02_-59.50_-73.75,2.990737
2019_02_-59.50_-73.50,3.009312
2019_02_-59.50_-73.25,3.022463
2019_02_-59.50_-73.00,3.012410
2019_02_-59.50_-72.75,2.987933
2019_02_-59.50_-72.50,2.959910
2019_02_-59.50_-72.25,2.952785
2019_02_-59.50_-72.00,2.942667
2019_02_-59.50_-71.75,2.945549
2019_02_-59.50_-71.50,2.968686
2019_02_-59.50_-71.25,2.945608
2019_02_-59.50_-71.00,2.918736
2019_02_-59.50_-70.75,2.915333
2019_02_-59.50_-70.50,2.909942
2019_02_-59.50_-70.25,2.916500
2019_02_-59.50_-70.00,2.931244
2019_02_-59.50_-69.75,2.920558
2019_02_-59.50_-69.50,2.915862
2019_02_-59.50_-69.25,2.894898
2019_02_-59.50_-69.00,2.841774
2019_02_-59.50_-68.75,2.818716
2019_02_-59.50_-68.50,2.797990
2019_02_-59.50_-68.25,2.775586
2019_02_-59.50_-68.00,2.775823
2019_02_-59.50_-67.75,2.764000
2019_02_-59.50_-67.50,2.748989
2019_02_-59.50_-67.25,2.739587
2019_02_-59.50_-67.00,2.698964
2019_02_-59.50_-66.75,2.656149
2019_02_-59.50_-66.50,2.648563
2019_02_-59.50_-66.25,2.627714
2019_02_-59.50_-66.00,2.617937
2019_02_-59.50_-65.75,2.617805
2019_02_-59.50_-65.50,2.582158
2019_02_-59.50_-65.25,2.549641
2019_02_-59.50_-65.00,2.513099
2019_02_-59.50_-64.75,2.463654
2019_02_-59.50_-64.50,2.433902
2019_02_-59.50_-64.25,2.415438
2019_02_-59.50_-64.00,2.396260
2019_02_-59.50_-63.75,2.395629
2019_02_-59.50_-63.50,2.390085
2019_02_-59.50_-63.25,2.386398
2019_02_-59.50_-63.00,2.378651
2019_02_-59.50_-62.75,2.377162
2019_02_-59.50_-62.50,2.378725
2019_02_-59.50_-62.25,2.381847
2019_02_-59.50_-62.00,2.378171
2019_02_-59.50_-61.75,2.374991
2019_02_-59.50_-61.50,2.372285
2019_02_-59.50_-61.25,2.381573
2019_02_-59.50_-61.00,2.382894
2019_02_-59.50_-60.75,2.382481
2019_02_-59.50_-60.50,2.374746
2019_02_-59.50_-60.25,2.365504
2019_02_-59.50_-60.00,2.350709
2019_02_-59.50_-59.75,2.335374
2019_02_-59.50_-59.50,2.335456
2019_02_-59.50_-59.25,2.330068
2019_02_-59.50_-59.00,2.316220
2019_02_-59.50_-58.75,2.298829
2019_02_-59.50_-58.50,2.285189
2019_02_-59.50_-58.25,2.273619
2019_02_-59.50_-58.00,2.265822
2019_02_-59.50_-57.75,2.264156
2019_02_-59.50_-57.50,2.254540
2019_02_-59.50_-57.25,2.233075
2019_02_-59.50_-57.00,2.219091
2019_02_-59.50_-56.75,2.202506
2019_02_-59.50_-56.50,2.185031
2019_02_-59.50_-56.25,2.180451
2019_02_-59.50_-56.00,2.172245
2019_02_-59.50_-55.75,2.174485
2019_02_-59.50_-55.50,2.182199
2019_02_-59.50_-55.25,2.183247
2019_02_-59.50_-55.00,2.181837
2019_02_-59.50_-54.75,2.176328
2019_02_-59.50_-54.50,2.174667
2019_02_-59.50_-54.25,2.168141
2019_02_-59.50_-54.00,2.158424
2019_02_-59.50_-53.75,2.147553
2019_02_-59.50_-53.50,2.134595
2019_02_-59.50_-53.25,2.126544
2019_02_-59.50_-53.00,2.128313
2019_02_-59.50_-52.75,2.133795
2019_02_-59.50_-52.50,2.135524
2019_02_-59.50_-52.25,2.139565
2019_02_-59.50_-52.00,2.136921
2019_02_-59.50_-51.75,2.134024
2019_02_-59.50_-51.50,2.124015
2019_02_-59.50_-51.25,2.114739
2019_02_-59.50_-51.00,2.104658
2019_02_-59.50_-50.75,2.094349
2019_02_-59.50_-50.50,2.096329
2019_02_-59.50_-50.25,2.101501
2019_02_-59.50_-50.00,2.111572
2019_02_-59.50_-49.75,2.126396
2019_02_-59.50_-49.50,2.138448
2019_02_-59.50_-49.25,2.152874
2019_02_-59.50_-49.00,2.168103
2019_02_-59.50_-48.75,2.183351
2019_02_-59.50_-48.50,2.195056
2019_02_-59.50_-48.25,2.204159
2019_02_-59.50_-48.00,2.208243
2019_02_-59.50_-47.75,2.221566
2019_02_-59.50_-47.50,2.231178
2019_02_-59.50_-47.25,2.247247
2019_02_-59.50_-47.00,2.263215
2019_02_-59.50_-46.75,2.265123
2019_02_-59.50_-46.50,2.264129
2019_02_-59.50_-46.25,2.275645
2019_02_-59.50_-46.00,2.292699
