id,tp_mm_day,status,source_branch,source_commit,origin_month
2019_02_-60.00_-78.75,2.954262,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-78.50,2.965151,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-78.25,2.967726,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-78.00,2.964862,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-77.75,2.950031,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-77.50,2.921677,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-77.25,2.909808,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-77.00,2.930753,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-76.75,2.949573,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-76.50,2.959003,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-76.25,2.966980,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-76.00,2.950187,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-75.75,2.933279,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-75.50,2.920479,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-75.25,2.907955,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-75.00,2.928867,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-74.75,2.958305,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-74.50,2.967002,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-74.25,2.965379,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-74.00,2.958676,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-73.75,2.947466,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-73.50,2.939353,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-73.25,2.935828,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-73.00,2.930410,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-72.75,2.920131,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-72.50,2.904851,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-72.25,2.858775,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-72.00,2.812909,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-71.75,2.804422,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-71.50,2.795693,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-71.25,2.791080,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-71.00,2.786978,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-70.75,2.771657,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-70.50,2.752444,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-70.25,2.751405,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-70.00,2.762366,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-69.75,2.776390,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-69.50,2.794326,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-69.25,2.800871,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-69.00,2.784676,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-68.75,2.762417,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-68.50,2.715848,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-68.25,2.671740,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-68.00,2.663157,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-67.75,2.654426,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-67.50,2.653347,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-67.25,2.652712,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-67.00,2.627478,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-66.75,2.595965,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-66.50,2.565965,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-66.25,2.536648,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-66.00,2.520857,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-65.75,2.516383,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-65.50,2.510523,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-65.25,2.502460,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-65.00,2.485800,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-64.75,2.445339,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-64.50,2.407588,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-64.25,2.388451,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-64.00,2.369290,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-63.75,2.390021,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-63.50,2.410577,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-63.25,2.412449,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-63.00,2.411304,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-62.75,2.407084,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-62.50,2.401574,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-62.25,2.405034,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-62.00,2.414609,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-61.75,2.425082,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-61.50,2.436345,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-61.25,2.446289,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-61.00,2.453191,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-60.75,2.458381,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-60.50,2.455961,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-60.25,2.451844,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-60.00,2.422901,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-59.75,2.393866,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-59.50,2.367551,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-59.25,2.341442,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-59.00,2.345164,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-58.75,2.356722,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-58.50,2.344724,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-58.25,2.321267,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-58.00,2.300577,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-57.75,2.282076,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-57.50,2.267854,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-57.25,2.259706,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-57.00,2.248038,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-56.75,2.226754,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-56.50,2.205502,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-56.25,2.184244,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-56.00,2.163140,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-55.75,2.160806,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-55.50,2.158261,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-55.25,2.153858,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-55.00,2.149178,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-54.75,2.139540,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-54.50,2.128315,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-54.25,2.124836,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-54.00,2.126297,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-53.75,2.122623,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-53.50,2.113223,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-53.25,2.107528,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-53.00,2.108924,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-52.75,2.110178,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-52.50,2.110334,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-52.25,2.109964,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-52.00,2.099820,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-51.75,2.089561,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-51.50,2.074708,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-51.25,2.059227,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-51.00,2.057908,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-50.75,2.060091,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-50.50,2.060105,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-50.25,2.059109,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-50.00,2.064017,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-49.75,2.073750,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-49.50,2.086779,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-49.25,2.104188,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-49.00,2.117037,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-48.75,2.117267,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-48.50,2.119828,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-48.25,2.139190,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-48.00,2.158391,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-47.75,2.171261,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-47.50,2.184196,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-47.25,2.193976,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-47.00,2.203195,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-46.75,2.211301,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-46.50,2.219132,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-46.25,2.224860,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-46.00,2.229203,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-45.75,2.235312,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-45.50,2.243398,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-45.25,2.253494,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-45.00,2.267414,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-44.75,2.276209,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-44.50,2.264997,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-44.25,2.253374,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-44.00,2.234869,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-43.75,2.216047,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-43.50,2.235732,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-43.25,2.258067,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-43.00,2.264786,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-42.75,2.267835,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-42.50,2.264471,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-42.25,2.258430,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-42.00,2.252897,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-41.75,2.247900,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-41.50,2.243532,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-41.25,2.239881,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-41.00,2.234141,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-40.75,2.223088,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-40.50,2.212259,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-40.25,2.202544,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-40.00,2.192562,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-39.75,2.191172,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-39.50,2.189759,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-39.25,2.188155,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-39.00,2.186460,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-38.75,2.191059,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-38.50,2.197978,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-38.25,2.211632,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-38.00,2.229629,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-37.75,2.244514,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-37.50,2.255414,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-37.25,2.263429,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-37.00,2.265464,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-36.75,2.264362,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-36.50,2.251676,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-36.25,2.239539,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-36.00,2.236906,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-35.75,2.233932,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-35.50,2.235157,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-35.25,2.236517,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-35.00,2.237156,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-34.75,2.237463,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-34.50,2.241154,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-34.25,2.246296,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-34.00,2.244071,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-33.75,2.234988,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-33.50,2.233089,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-33.25,2.241596,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-33.00,2.249287,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-32.75,2.254927,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-32.50,2.259934,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-32.25,2.261284,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-32.00,2.262319,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-31.75,2.261320,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-31.50,2.260401,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-31.25,2.256478,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-31.00,2.252278,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-30.75,2.249388,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-30.50,2.247338,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-30.25,2.243715,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-30.00,2.239135,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-29.75,2.239994,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-29.50,2.247119,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-29.25,2.251966,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-29.00,2.252193,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-28.75,2.253835,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-28.50,2.262541,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-28.25,2.270295,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-28.00,2.265297,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-27.75,2.260164,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-27.50,2.252718,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-27.25,2.245061,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-27.00,2.252642,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-26.75,2.263958,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-26.50,2.278804,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-26.25,2.295058,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-26.00,2.306127,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-25.75,2.312048,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-25.50,2.325955,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-25.25,2.351237,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-60.00_-25.00,2.373118,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-90.00,2.938448,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-89.75,2.945140,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-89.50,2.953504,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-89.25,2.947057,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-89.00,2.942656,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-88.75,2.943706,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-88.50,2.941357,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-88.25,2.957336,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-88.00,2.974333,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-87.75,2.972028,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-87.50,2.970919,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-87.25,2.971340,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-87.00,2.974499,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-86.75,2.978275,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-86.50,2.981929,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-86.25,2.973172,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-86.00,2.963243,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-85.75,2.952833,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-85.50,2.942388,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-85.25,2.948173,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-85.00,2.967913,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-84.75,2.986076,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-84.50,2.998613,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-84.25,3.007013,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-84.00,3.008510,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-83.75,3.008358,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-83.50,3.014805,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-83.25,3.021863,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-83.00,3.028542,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-82.75,3.033536,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-82.50,3.026518,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-82.25,3.013670,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-82.00,3.006775,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-81.75,2.999461,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-81.50,3.005371,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-81.25,3.030970,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-81.00,3.041242,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-80.75,3.039360,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-80.50,3.032590,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-80.25,2.994549,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-80.00,2.969307,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-79.75,2.975611,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-79.50,2.985515,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-79.25,2.997054,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-79.00,3.008926,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-78.75,2.990737,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-78.50,2.964525,research_only_not_submittable,vermelho,62b3626,2019-01
2019_02_-59.75_-78.25,2.955894,research_only_not_submittable,vermelho,62b3626,2019-01
